"","Mean","Median","Variance"
"g930",143.20008,1.932,138748.982103687
"g931",181.11736,35.3215,108713.564145211
"g932",2.21166,0,181.551047689199
"g933",0,0,0
"g934",0.2654,0,0.34580349967785
"g935",191.45418,53.296,98999.4545642692
"g936",0,0,0
"g937",8.36448,5.394,78.5225536213242
"g938",0,0,0
"g939",0.9559,0,28.6452639598962
"g940",0.01186,0,0.00602485044676244
"g941",72.54368,6.9635,15226.4997053168
"g942",0,0,0
"g943",361.72414,222.718,116318.611336882
"g944",148.11262,1.5,398088.33613027
"g945",0,0,0
"g946",57.7941,10.929,9409.07073843835
"g947",16.14406,0,3974.54530508117
"g948",0,0,0
"g949",25.64016,0.7835,10006.2677570734
"g950",81.68362,5.1445,224349.325242424
"g951",4.3879,0,301.071556352497
"g952",582.16932,252.5035,2774191.37553119
"g953",0.09332,0,0.228358648578617
"g954",0.12638,0,0.307819509747761
"g955",0,0,0
"g956",175.73592,36.178,66359.5775504485
"g957",30.83592,0,6422.96733451099
"g958",86.39738,16.5855,29067.671390856
"g959",72.5406,4.1945,16252.8916568693
"g960",96.33852,1.776,50563.6180037944
"g961",134.89274,25.483,63871.1019009116
"g962",2676.19882,2685.732,2767306.19220939
"g963",138.81084,3.3265,68880.6526893333
"g964",0,0,0
"g965",123.78,0,416783.9009857
"g966",17.93398,1.862,26414.759644397
"g967",90.84706,0,98488.0483296423
"g968",475.70724,81.531,1018683.06685803
"g969",97.95054,2.628,26436.7795448167
"g970",467.94322,71.8825,1620470.33694875
"g971",34.54108,0,17008.2843373468
"g972",14.5116,0,3030.10102269204
"g973",6557.15194,6682.324,4968144.78080889
"g974",692.6394,481.592,486086.576175582
"g975",2.2322,0,180.688211928459
"g976",937.5488,672.287,905002.229774209
"g977",50.3596,0,18374.6040507903
"g978",0,0,0
"g979",394.90314,256.388,292507.843089136
"g980",200.10994,17.538,111162.681385197
"g981",207.82538,30.819,115007.939994812
"g982",0,0,0
"g983",0,0,0
"g984",0,0,0
"g985",0,0,0
"g986",59.7242,3.6415,55683.857220258
"g987",0,0,0
"g988",0.0361,0,0.0390728058455307
"g989",39.31624,0,54981.1283343833
"g990",294.37132,78.192,364727.107488914
"g991",0,0,0
"g992",0,0,0
"g993",1.29444,0,53.5947348511139
"g994",0,0,0
"g995",433.39404,87.375,473315.815758301
"g996",138.60296,2.7635,116248.014952346
"g997",0,0,0
"g998",4.17344,0,347.631481192409
"g999",944.4498,179.3225,8968855.85744679
"g1000",0,0,0
