"","Mean","Median","Variance"
"g377",0,0,0
"g378",0,0,0
"g379",38.29034,0,17490.9520251431
"g380",429.6117,160.4685,356768.672470749
"g381",6.80466,2.304,230.396356195346
"g382",370.10088,48.465,808158.453554903
"g383",0,0,0
"g384",308.38288,5.671,960893.033849551
"g385",0,0,0
"g386",282.15978,6.6815,552489.700204871
"g387",1.36006,0,70.5662174200658
"g388",95.7862,6.071,37294.226101984
"g389",402.8454,181.62,160095.65706751
"g390",1.78362,0,151.773693505207
"g391",0,0,0
"g392",60.53138,28.705,8672.35253567907
"g393",132.38646,30.9395,650321.027402989
"g394",0,0,0
"g395",0.11598,0,0.180007702072413
"g396",567.84894,328.278,350624.752238534
"g397",193.93382,73.439,62513.2602838609
"g398",339.77826,300.7,66119.3984512058
"g399",0.69482,0,19.4562474494211
"g400",2002.82148,1778.2325,2122730.8945675
"g401",0,0,0
"g402",1436.92224,1193.6755,1286649.21480887
"g403",55.42812,0,133270.196939807
"g404",481.94934,251.7095,333607.587023388
"g405",137.50754,1.2815,84421.8692309458
"g406",247.36608,55.0355,85502.8756392066
"g407",0,0,0
"g408",0,0,0
"g409",1.6798,0,111.723649747582
"g410",67.01454,1.2705,16064.5270950328
"g411",1248.54298,566.178,1634966.26861874
"g412",0.02912,0,0.0638742460341534
"g413",47.34848,2.2185,13614.7563835865
"g414",138.99072,3.801,326878.27902022
"g415",0,0,0
"g416",36.68842,2.825,11427.7012085282
"g417",9.65622,4.5695,265.065988027834
"g418",15.00392,0,1658.35905201912
"g419",217.04,69.5225,77542.1559751371
"g420",63.50532,0,42328.6141747236
"g421",0.166,0,1.11092290496108
"g422",42.80202,2.6205,31327.2462948553
"g423",9.36402,0,3528.47577809998
"g424",31.1084,0,8155.01773377098
"g425",250.97924,31.9095,202140.010407299
"g426",1169.444,1097.8395,831722.47708531
"g427",4.89018,0,300.737414606518
"g428",212.85402,77.1585,146438.519313014
"g429",477.40404,200.5125,1040590.18574525
"g430",77.09806,50.258,10862.3898102914
"g431",101.9384,0,565661.179155765
"g432",56.48666,12.5775,9073.52139418029
"g433",0,0,0
"g434",0,0,0
"g435",0.22936,0,0.87297665249585
"g436",3704.25568,2778.7005,7782333.985705
"g437",11.76512,0,3427.3751069906
"g438",26.22862,0.7825,6361.54007469034
"g439",207.36376,2.266,218838.843684323
"g440",343.70858,250.201,195133.751679188
"g441",16.5696,0.8085,2051.76118784678
"g442",125.27178,37.6245,39774.3485740378
"g443",1.03826,0,35.5585236735534
"g444",807.16984,697.767,215031.621230079
"g445",846.56786,621.959,629171.083335411
"g446",70.77624,2.5035,22834.3115806926
"g447",19.37072,1.102,3022.53289741286
"g448",748.37368,520.3415,616028.37322951
"g449",949.17626,627.2135,1298587.4932172
"g450",21.90214,0,2473.84683392574
"g451",11.81452,0,741.689407490508
"g452",3060.60052,2394.5675,12018052.9794549
"g453",3162.48494,1944.008,14389063.0391088
"g454",12.14628,8.9235,265.732892638972
"g455",4052.22494,3636.404,8197581.30821002
"g456",0,0,0
"g457",69.49522,0,198116.787301348
"g458",33.21314,0,3837.5279337386
"g459",597.32436,188.656,640856.456129603
"g460",0,0,0
"g461",39.55128,9.747,3891.95281873313
"g462",100.67206,14.7425,40606.2701832859
"g463",85.41554,0,267398.196741813
"g464",26.09644,0,5643.06649944311
"g465",82.9592,3.862,22708.0462624069
"g466",4.60926,0,174.999790315777
"g467",15.9615,0,3678.09000141115
"g468",340.9975,178.4795,282114.30693423
"g469",256.51066,77.5315,106704.741313165
"g470",78.74358,28.605,11865.1314917632
"g471",582.9194,257.689,518830.814344038
"g472",9.3967,4.428,325.550198263158
"g473",72.5684,1.697,50029.9850805945
"g474",4.4261,0,258.222227098995
"g475",0.0562,0,0.120342184958191
"g476",710.14616,154.043,1249771.96023143
"g477",57.51324,2.8875,14201.939168924
"g478",0.2654,0,0.34580349967785
"g479",0,0,0
"g480",283.86596,54.3475,265895.873480056
"g481",1.61972,0,13.2678468221365
"g482",0,0,0
"g483",0,0,0
"g484",282.12032,85.926,152133.662061592
"g485",1.76612,0,43.1486394966473
"g486",30.7672,0,18706.7974184466
"g487",17.3906,0,6090.02473429638
"g488",266.0547,36.21,151536.46133158
"g489",18.02112,9.0545,853.732314867766
"g490",0,0,0
"g491",17.01074,0.864,2002.17162392353
"g492",140.85618,9.8155,300432.913951868
"g493",0,0,0
"g494",0,0,0
"g495",63.28008,3.8,18973.8574740373
"g496",4.83764,1.445,123.988829656221
"g497",0,0,0
"g498",0,0,0
"g499",803.92226,538.87,553900.579989435
"g500",161.89316,22.421,143125.875494748
"g501",42.71836,1.847,12437.9267349435
"g502",0.00056,0,1.0892401586278e-05
"g503",0,0,0
"g504",1.24078,0,11.2691107510375
"g505",225.92962,35.444,81263.7938796775
"g506",0,0,0
"g507",243.18428,55.6195,275919.645261256
"g508",575.6402,371.4335,509624.434225452
"g509",0,0,0
"g510",36.66322,0,14820.7688849099
"g511",38.23986,0,9471.46258655732
"g512",0,0,0
"g513",4530.58168,3201.3335,24882808.3565146
"g514",0,0,0
"g515",582.75616,353.4895,562966.023335115
"g516",0.15808,0,0.811551856167589
"g517",2923.9016,2205.9885,5192178.9163637
"g518",20.79008,0,2905.47260813978
"g519",398.27906,16.7485,522235.355006238
"g520",33.6364,0,8427.47778995674
"g521",0,0,0
"g522",482.31958,3.453,8184308.61547949
"g523",134.38508,0.266,92679.4273807982
"g524",0.8729,0,1.76780447832854
"g525",0.10434,0,0.128076346286352
"g526",156.9368,0,581660.129765092
"g527",0,0,0
"g528",244.43548,86.384,164563.259622534
"g529",0.03704,0,0.0468904450075835
"g530",0,0,0
"g531",0.04112,0,0.0596000090890674
"g532",13.6236,0,8316.07891826595
"g533",0.60266,0,3.84425389078128
"g534",879.23812,350.9535,1004853.03352456
"g535",57.96102,5.835,25598.4016932292
"g536",0,0,0
"g537",11.53052,0,708.79752102649
"g538",0,0,0
"g539",8.89606,0,1054.02361639137
"g540",743.09862,438.5315,923679.858966036
"g541",131.26266,2.2825,78264.3360886727
"g542",1505.86338,1044.802,2379668.15696566
"g543",0,0,0
"g544",2.67542,0,129.527785857083
